issueType,field,productId,graceSku,websiteSku,family,capacityMl,rawValue,canonicalValue,note
missing_image,imageUrl,BB-CL-000-0008,CMP-CLS-BLK-06,CJ30BlkCap,Cap/Closure,30,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-CL-000-0008,CMP-CLS-BLK-06,CJ30BlkCap,Cap/Closure,30,hasCapStyle | hasHeightWithoutCap | hasCanonicalColor,,Required prompt fields are missing for automated image generation.
color_raw_missing,color,BB-CL-000-0009,CMP-CLS-SLV-02,CJ30SlCap,Cap/Closure,30,,,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-CL-000-0009,CMP-CLS-SLV-02,CJ30SlCap,Cap/Closure,30,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-CL-000-0009,CMP-CLS-SLV-02,CJ30SlCap,Cap/Closure,30,hasCapStyle | hasHeightWithoutCap | hasCanonicalColor,,Required prompt fields are missing for automated image generation.
color_raw_missing,color,BB-CL-000-0010,CMP-CLS-BLK-07,CJ40BlkCap,Cap/Closure,40,,,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-CL-000-0010,CMP-CLS-BLK-07,CJ40BlkCap,Cap/Closure,40,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-CL-000-0010,CMP-CLS-BLK-07,CJ40BlkCap,Cap/Closure,40,hasCapStyle | hasHeightWithoutCap | hasCanonicalColor,,Required prompt fields are missing for automated image generation.
color_raw_missing,color,BB-CL-000-0011,CMP-CLS-SLV-03,CJ40SlCap,Cap/Closure,40,,,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-CL-000-0011,CMP-CLS-SLV-03,CJ40SlCap,Cap/Closure,40,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-CL-000-0011,CMP-CLS-SLV-03,CJ40SlCap,Cap/Closure,40,hasCapStyle | hasHeightWithoutCap | hasCanonicalColor,,Required prompt fields are missing for automated image generation.
color_raw_missing,color,BB-CL-000-0012,CMP-CLS-BLK-08,CJ5BlkCap,Cap/Closure,5,,,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-CL-000-0012,CMP-CLS-BLK-08,CJ5BlkCap,Cap/Closure,5,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-CL-000-0012,CMP-CLS-BLK-08,CJ5BlkCap,Cap/Closure,5,hasCapStyle | hasHeightWithoutCap | hasCanonicalColor,,Required prompt fields are missing for automated image generation.
color_raw_missing,color,BB-CL-000-0013,CMP-CLS-SLV-04,CJ5SlCap,Cap/Closure,5,,,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-CL-000-0013,CMP-CLS-SLV-04,CJ5SlCap,Cap/Closure,5,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-CL-000-0013,CMP-CLS-SLV-04,CJ5SlCap,Cap/Closure,5,hasCapStyle | hasHeightWithoutCap | hasCanonicalColor,,Required prompt fields are missing for automated image generation.
color_raw_missing,color,BB-CL-000-0083,CMP-CLS-GLD-02,CPKeyChnGld,Cap/Closure,0,,,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-CL-000-0083,CMP-CLS-GLD-02,CPKeyChnGld,Cap/Closure,0,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-CL-000-0083,CMP-CLS-GLD-02,CPKeyChnGld,Cap/Closure,0,hasCapStyle | hasHeightWithoutCap | hasCanonicalColor,,Required prompt fields are missing for automated image generation.
color_raw_missing,color,BB-CL-000-0090,CMP-CLS-GDRD,CPTslRed,Cap/Closure,0,,,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-CL-000-0090,CMP-CLS-GDRD,CPTslRed,Cap/Closure,0,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-CL-000-0090,CMP-CLS-GDRD,CPTslRed,Cap/Closure,0,hasCapStyle | hasHeightWithoutCap | hasCanonicalColor,,Required prompt fields are missing for automated image generation.
color_derived_from_text,color,BB-DR-000-0012,CMP-DRP-AMB,Droppers1ozElg,Dropper,10,,Amber,Canonical color differs from or augments source color evidence.
color_raw_missing,color,BB-DR-000-0012,CMP-DRP-AMB,Droppers1ozElg,Dropper,10,,Amber,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-DR-000-0012,CMP-DRP-AMB,Droppers1ozElg,Dropper,10,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-DR-000-0012,CMP-DRP-AMB,Droppers1ozElg,Dropper,10,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
color_derived_from_text,color,BB-RC-000-0055,CMP-ROC-WHT-03,CPWhite1Oz,Roll-On Cap,30,,White,Canonical color differs from or augments source color evidence.
color_raw_missing,color,BB-RC-000-0055,CMP-ROC-WHT-03,CPWhite1Oz,Roll-On Cap,30,,White,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,BB-RC-000-0055,CMP-ROC-WHT-03,CPWhite1Oz,Roll-On Cap,30,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-RC-000-0055,CMP-ROC-WHT-03,CPWhite1Oz,Roll-On Cap,30,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,GBCyl5WhtSht,GBCyl5WhtSht,Cylinder,5,,,No primary or cap-off image URL is available.
color_derived_from_sku_swirl,color,,GBCylSwrl9MtlRollWht,GBCylSwrl9MtlRollWht,Cylinder,9,Clear,Swirl,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,,GBCylSwrl9MtlRollWht,GBCylSwrl9MtlRollWht,Cylinder,9,,,No primary or cap-off image URL is available.
color_derived_from_sku_swirl,color,,GBCylSwrl9RollWht,GBCylSwrl9RollWht,Cylinder,9,Clear,Swirl,Canonical color differs from or augments source color evidence.
missing_image,imageUrl,,GBCylSwrl9RollWht,GBCylSwrl9RollWht,Cylinder,9,,,No primary or cap-off image URL is available.
missing_image,imageUrl,,GBTallCyl9WhtSht,GBTallCyl9WhtSht,Tall Cylinder,9,,,No primary or cap-off image URL is available.
missing_image,imageUrl,BB-AL-250-0001,AB-ALU-CLR-250ML-SPR-BLK,Alu250mlSprayBlack,Aluminum Bottle,250,,,No primary or cap-off image URL is available.
missing_image,imageUrl,BB-GB-100-0238,GB-EMP-CLR-100ML-RDC-MSLV-01,GBEmp100RdcrMtSl,Empire,100,,,No primary or cap-off image URL is available.
missing_image,imageUrl,BB-CJ-005-0002,CJ-JAR-AMB-5ML-SLV,CJAmb5mlSlCap,Cream Jar,5,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,BB-CJ-005-0002,CJ-JAR-AMB-5ML-SLV,CJAmb5mlSlCap,Cream Jar,5,hasApplicator | hasCapStyle,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,BB-GB-100-0026,GB-CIR-CLR-100ML-RDC-SBLK-01,GBCrcl100RdcrShnBlk,Circle,100,,,No primary or cap-off image URL is available.
missing_image,imageUrl,BB-GB-050-0026,GB-CIR-CLR-50ML-RDC-MSLV-01,GBCrcl50RdcrMtSl,Circle,50,,,No primary or cap-off image URL is available.
